month,symbol,token_volume,transfer_count,active_addresses,newly_adopted_addresses,genius_qualifying_transfer_volume,average_transfer_size,volume_per_active_address,transfers_per_active_address
2020-01-01,USDC,3405731553.014237,149105,53215,39110,3405731551.2374253,22841.162611833442,63999.465432946294,2.8019355444893357
2020-02-01,USDC,3100613345.269172,218509,70915,52136,3100613342.8020797,14189.86560188404,43722.954879350946,3.081280406120003
2020-03-01,USDC,6402134190.227404,382481,93933,73127,6402134184.080172,16738.437161794107,68156.39008897197,4.071849083921519
2020-04-01,USDC,4067174104.634311,320676,93019,70288,4067174094.441527,12683.125941578188,43724.1220034005,3.4474247196809253
2020-05-01,USDC,4128318780.8213954,329001,113918,88032,4128318771.3970437,12548.043232078455,36239.38956812264,2.8880510542671045
2020-06-01,USDC,7571920339.364299,405282,127609,92876,7571920323.247477,18683.090596788104,59336.88328694919,3.175967212343957
2020-07-01,USDC,18135601324.26012,597663,159447,118073,18135601309.149757,30344.192812922596,113740.6243093951,3.7483489811661554
2020-08-01,USDC,24483427217.67193,733053,217280,145251,24483427206.26019,33399.259270830604,112681.45810784209,3.3737711708394698
2020-09-01,USDC,51770797585.02242,956956,198348,147029,51770797574.35055,54099.45449357185,261009.92994646996,4.8246314558251155
2020-10-01,USDC,47704645185.85346,1166546,404826,341026,47704645181.20163,40893.925469892856,117839.87487427553,2.881598513929441
2020-11-01,USDC,35939031126.251625,1601290,727315,637157,35939031122.19095,22443.799138314076,49413.295650786284,2.201645779339076
2020-12-01,USDC,44178800766.067,1469700,475529,382136,44178800760.94942,30059.74060076847,92904.53529872416,3.090663240307111
2021-01-01,USDC,92378007907.17612,1621357,433312,324040,92378007903.9514,56975.735697907,213190.5137803156,3.741777287497231
2021-02-01,USDC,187762537143.04626,1809750,529037,405716,187762537140.46332,103750.53854977943,354913.8097014883,3.4208382400474826
2021-03-01,USDC,309030334520.0918,2088933,593195,451637,309030334517.1417,147936.92977091257,520959.10201551224,3.52149461812726
2021-04-01,USDC,482706937090.6279,2861000,853883,650272,482706937088.57556,168719.65644480096,565308.0540198457,3.350576132795711
2021-05-01,USDC,297864481231.9149,3119928,721993,478209,297864481229.3487,95471.58819990355,412558.68302312476,4.321271812884612
2021-06-01,USDC,205385682199.44427,3290965,651177,399706,205385682196.1879,62408.953664407825,315406.84360695217,5.053871681585806
2021-07-01,USDC,180691322950.09717,3103076,609116,387091,180691322946.81595,58229.74459755931,296645.17587798904,5.09439252950177
2021-08-01,USDC,180285799210.29495,3020680,610886,356413,180285799207.5685,59683.845759090174,295121.838133948,4.944752376057071
2021-09-01,USDC,198207281694.71176,3319846,711163,430610,198207281692.04016,59703.75785263538,278708.65286117495,4.668192805306238
2021-10-01,USDC,205993720215.2758,3347048,753170,453418,205993720211.39645,61544.89574436831,273502.29060540884,4.443947581555293
